央视,#genre#

CCTV-1 综合,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001859
CCTV-2 财经,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001800
CCTV-3 综艺,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001801
CCTV-4 中文国际,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001814
CCTV-5 体育,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001818
CCTV-5+ 体育赛事,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001817
CCTV-6 电影,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600108442
CCTV-7 国防军事,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600004092
CCTV-8 电视剧,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001803
CCTV-9 纪录,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600004078
CCTV-10 科教,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001805
CCTV-11 戏曲,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001806
CCTV-12 社会与法,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001807
CCTV-13 新闻,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001811
CCTV-14 少儿,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001809
CCTV-15 音乐,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001815
CCTV-16 奥林匹克,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600098637
CCTV-17 农业农村,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001810
CCTV风云剧场,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600099658
CCTV第一剧场,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600099655
CCTV怀旧剧场,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600099620
1905电影,http://A/ku9/js/webview.js?id=https://m.1905.com/m/xl/live/
1905国际电影,http://A/ku9/js/webview.js?id=https://www.1905.com/1905tv/live/

卫视,#genre#

北京卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002309
江苏卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002521
东方卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002483
浙江卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002520
湖南卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002475
湖北卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002508
广东卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002485
广西卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002509
黑龙江卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002498
海南卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002506
重庆卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002531
深圳卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002481
四川卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002516
河南卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002525
东南卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002484
贵州卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002490
江西卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002503
辽宁卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002505
安徽卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002532
